"CONVOCATORIA","SEMESTRE DE CONVOCATORIA","BENEFICIO OTORGADO","DEPARTAMENTO DE NACIMIENTO","MUNICIPIO DE NACIMIENTO","FECHA DE NACIMIENTO","GÉNERO","SUBREGIÓN DE RESIDENCIA","MUNICIPIO DE RESIDENCIA","ESTRATO","GRUPO ETNICO","VICTIMA DEL CONFLICTO ARMADO","UNIVERSIDAD","PROGRAMA CURSADO","MUNICIPIO OFERTA","TIPO DE FORMACIÓN","GRADUADO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","FRONTINO","1997 Jun 23 12:00:00 AM","FEMENINO","ORIENTE","MARINILLA","ESTRATO 1","NINGUNO","NO","COREDI","TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES","MARINILLA","TECNICA PROFESIONAL","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SONSON","1998 Apr 13 12:00:00 AM","FEMENINO","ORIENTE","SONSON","ESTRATO 1","NINGUNO","NO","COREDI","TECNOLOGIA EN PRODUCCION AGROECOLOGICA","MARINILLA","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","PEQUE","1999 Jan 12 12:00:00 AM","FEMENINO","OCCIDENTE","PEQUE","ESTRATO 2","NINGUNO","SI","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","COMUNICACION SOCIAL","SANTA ROSA DE OSOS","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","VALDIVIA","1994 Dec 15 12:00:00 AM","FEMENINO","NORTE","SANTA ROSA DE OSOS","ESTRATO 2","NINGUNO","NO","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","COMUNICACION SOCIAL","SANTA ROSA DE OSOS","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","YARUMAL","1999 Jul 30 12:00:00 AM","MASCULINO","NORTE","YARUMAL","ESTRATO 2","NINGUNO","NO","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","INGENIERIA INFORMATICA","SANTA ROSA DE OSOS","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","VALPARAISO","1993 Mar 28 12:00:00 AM","MASCULINO","SUROESTE","TAMESIS","ESTRATO 1","INDIGENA","SI","TECNOLOGICO DE ANTIOQUIA","LICENCIATURA EN EDUCACION PREESCOLAR","LA PINTADA","UNIVERSITARIA","SI"
"2,015","2","MATRICULA","VALLE DEL CAUCA","CALI","1992 Jun 20 12:00:00 AM","MASCULINO","ORIENTE","SAN RAFAEL","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SEGOVIA","1990 Oct 13 12:00:00 AM","MASCULINO","NORDESTE","YOLOMBO","ESTRATO 2","NINGUNO","SI","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA EN SISTEMAS MECATRONICOS","YOLOMBO","TECNOLOGICA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","SANTANDER","BUCARAMANGA","1994 Aug 09 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1997 Apr 23 12:00:00 AM","FEMENINO","URABA","CHIGORODO","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SISTEMAS DE INFORMACION","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANDES","1995 Oct 30 12:00:00 AM","MASCULINO","SUROESTE","ANDES","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","COMUNICACION SOCIAL Y PERIODISMO","ANDES","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1994 Nov 01 12:00:00 AM","FEMENINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1994 Feb 21 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1996 Aug 25 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1996 May 28 12:00:00 AM","FEMENINO","ORIENTE","GUARNE","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SABANALARGA","1999 Jan 30 12:00:00 AM","MASCULINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","BOGOTA","BOGOTA, D.C.","1998 Mar 09 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1988 Nov 23 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1998 Aug 13 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1998 Dec 31 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","GUARNE","1997 Aug 02 12:00:00 AM","MASCULINO","ORIENTE","GUARNE","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA","ANTIOQUIA","RIONEGRO","1995 Oct 20 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1998 Nov 20 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SABANETA","1996 Jun 03 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1998 May 14 12:00:00 AM","FEMENINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN FRANCISCO","1993 Oct 09 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1998 Nov 22 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1998 Jul 14 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1989 Jan 15 12:00:00 AM","FEMENINO","ORIENTE","LA UNION","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1994 Dec 23 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1991 Mar 03 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1994 Jan 22 12:00:00 AM","FEMENINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1994 Nov 17 12:00:00 AM","FEMENINO","ORIENTE","SAN RAFAEL","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1998 Dec 22 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1994 May 21 12:00:00 AM","MASCULINO","ORIENTE","MARINILLA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1993 Mar 21 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 2","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","COCORNA","1998 Sep 20 12:00:00 AM","FEMENINO","ORIENTE","COCORNA","ESTRATO 2","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1998 Jul 12 12:00:00 AM","FEMENINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1999 May 03 12:00:00 AM","MASCULINO","ORIENTE","LA UNION","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1997 Jul 06 12:00:00 AM","FEMENINO","ORIENTE","LA CEJA","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","RISARALDA","PEREIRA","1994 Dec 24 12:00:00 AM","MASCULINO","ORIENTE","MARINILLA","ESTRATO 2","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1998 Mar 09 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1997 Nov 06 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1997 May 06 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1997 May 28 12:00:00 AM","FEMENINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","CHIGORODO","1996 Jul 29 12:00:00 AM","MASCULINO","URABA","CHIGORODO","ESTRATO 1","AFROCOLOMBIANO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN VICENTE","1998 Oct 13 12:00:00 AM","MASCULINO","ORIENTE","SAN VICENTE","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","BELLO","1999 Apr 23 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1999 Mar 19 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","GUARNE","1998 Jan 03 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1998 Jul 24 12:00:00 AM","MASCULINO","ORIENTE","LA CEJA","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MARINILLA","1997 Nov 18 12:00:00 AM","FEMENINO","ORIENTE","MARINILLA","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MARINILLA","1992 Nov 17 12:00:00 AM","MASCULINO","ORIENTE","MARINILLA","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1999 Feb 14 12:00:00 AM","MASCULINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1992 Dec 29 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1990 Jun 12 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1991 May 06 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1992 Dec 05 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1993 Aug 27 12:00:00 AM","FEMENINO","ORIENTE","LA CEJA","ESTRATO 2","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1990 May 02 12:00:00 AM","FEMENINO","ORIENTE","GUARNE","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1998 Jun 21 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","CONTADURIA PUBLICA","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN VICENTE","1998 Jun 30 12:00:00 AM","MASCULINO","ORIENTE","SAN VICENTE","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1998 Oct 01 12:00:00 AM","FEMENINO","ORIENTE","MARINILLA","ESTRATO 2","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SONSON","1998 Nov 02 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","SI","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN CONSTRUCCIONES CIVILES","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","BELLO","1999 Feb 02 12:00:00 AM","FEMENINO","ORIENTE","MARINILLA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1999 Feb 04 12:00:00 AM","MASCULINO","ORIENTE","LA CEJA","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1999 Feb 05 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SEGURIDAD E HIGIENE OCUPACIONAL","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1999 Mar 17 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN ENTRENAMIENTO DEPORTIVO","RIONEGRO","TECNOLOGICA","SI"
"2,016","1","SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1998 Aug 27 12:00:00 AM","FEMENINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","ENFERMERIA","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1995 Nov 23 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","BELLO","1998 Aug 06 12:00:00 AM","MASCULINO","ORIENTE","EL PEÑOL","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA DE SISTEMAS","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1994 May 30 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","PUERTO TRIUNFO","1999 May 23 12:00:00 AM","MASCULINO","MAGDALENA MEDIO","PUERTO TRIUNFO","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA ELECTRONICA","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1998 Dec 09 12:00:00 AM","MASCULINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA DE SISTEMAS","RIONEGRO","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1996 Dec 07 12:00:00 AM","MASCULINO","ORIENTE","SAN VICENTE","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA DE SISTEMAS","RIONEGRO","UNIVERSITARIA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","MEDELLIN","1995 May 14 12:00:00 AM","MASCULINO","ORIENTE","EL PEÑOL","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA DE SISTEMAS","RIONEGRO","UNIVERSITARIA","NO"
