"CONVOCATORIA","SEMESTRE DE CONVOCATORIA","BENEFICIO OTORGADO","DEPARTAMENTO DE NACIMIENTO","MUNICIPIO DE NACIMIENTO","FECHA DE NACIMIENTO","GÉNERO","SUBREGIÓN DE RESIDENCIA","MUNICIPIO DE RESIDENCIA","ESTRATO","GRUPO ETNICO","VICTIMA DEL CONFLICTO ARMADO","UNIVERSIDAD","PROGRAMA CURSADO","MUNICIPIO OFERTA","TIPO DE FORMACIÓN","GRADUADO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL SANTUARIO","1997 Sep 14 12:00:00 AM","MASCULINO","ORIENTE","EL SANTUARIO","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA DE SISTEMAS","RIONEGRO","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN VICENTE","1989 Sep 12 12:00:00 AM","FEMENINO","ORIENTE","SAN VICENTE","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","EL CARMEN DE VIBORAL","1998 May 15 12:00:00 AM","FEMENINO","ORIENTE","EL CARMEN DE VIBORAL","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","ENFERMERIA","RIONEGRO","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","CUNDINAMARCA","FACATATIVA","1996 Dec 30 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","ENFERMERIA","RIONEGRO","UNIVERSITARIA","SI"
"2,015","2","MATRICULA","ANTIOQUIA","RIONEGRO","1993 Apr 11 12:00:00 AM","MASCULINO","ORIENTE","MARINILLA","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA INDUSTRIAL","RIONEGRO","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1994 Nov 09 12:00:00 AM","MASCULINO","ORIENTE","RIONEGRO","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LIBORINA","1995 Jan 22 12:00:00 AM","FEMENINO","ORIENTE","EL SANTUARIO","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","RIONEGRO","1997 Mar 22 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","ENFERMERIA","RIONEGRO","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","LA CEJA","1997 Mar 31 12:00:00 AM","MASCULINO","ORIENTE","LA CEJA","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","INGENIERIA DE SISTEMAS","RIONEGRO","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SAN CARLOS","1991 Jul 20 12:00:00 AM","FEMENINO","ORIENTE","SAN CARLOS","ESTRATO 2","NINGUNO","SI","UNIVERSIDAD CATOLICA DE ORIENTE","GERONTOLOGIA","RIONEGRO","UNIVERSITARIA","SI"
